year,host,metric,value,host_canonical
2000,Цуманський ДЛГ,area_counted,27.2,Цуманське ЛГ
2000,Шацький ДЛГ,area_counted,11.3,Шацьке ЛГ
2000,В.-Волинська р/р УТМР,area_counted,10.2,Володимир-Волинська р/о УТМР
2000,Іваничівська р/р УТМР,area_counted,9.7,Іваничівська р/о УТМР
2000,К.-Каширська р/р УТМР,area_counted,18.5,Камінь-Каширська р/о УТМР
2000,Ківерцівська р/р УТМР,area_counted,17.0,Ківерцівська р/о УТМР
2000,Ковельська р/р УТМР,area_counted,20.5,Ковельська м/о УТМР
2000,Локачинська р/р УТМР,area_counted,9.7,Локачинська р/о УТМР
2000,Луцька р/р УТМР,area_counted,20.3,Луцька р/о УТМР
2000,Любешівська р/р УТМР,area_counted,23.8,Любешівська р/о УТМР
2000,Любомльська р/р УТМР,area_counted,25.1,Любомльська р/о УТМР
2000,Маневицька р/р УТМР,area_counted,10.2,Маневицька р/о УТМР
2000,Ратнівська р/р УТМР,area_counted,14.8,Ратнівська р/о УТМР
2000,Рожищенська р/р УТМР,area_counted,19.6,Рожищенська р/о УТМР
2000,Старовижівська р/р УТМР,area_counted,14.0,Старовижівська р/о УТМР
2000,Шацька р/р УТМР,area_counted,5.5,Шацька р/о УТМР
2000,Облрада УТМР,area_counted,9.0,Облрада УТМР
2000,"Турійське РТМР ""Тур""",area_counted,30.1,Турійське РТМР Тур
2000,"Ковельське СЛГП ""Тур""",area_counted,29.0,"Ковельське СЛАП ""Тур"""
2000,К.-Каширське СЛГП,area_counted,26.5,Камінь-Каширськагроліс
2000,"МП ""Агросервіс""",area_counted,29.8,МП Агросервіс
2000,"ТзОВ ""Вікінг""",area_counted,11.8,Вікінг
2000,Шацький ПНП,area_counted,32.2,Шацький НПП
2000,"ДМГ ""Борове""",staff_total,18.0,Борове ЛМГ
2000,"ДМГ ""Горохівське""",staff_total,21.0,Горохівське ЛМГ
2000,"ДМГ ""Старовижівське""",staff_total,19.0,Старовижівське ЛГ
2000,Звірівське ДЛМГ,staff_total,26.0,Звірівське ЛМГ
2000,В.-Волинське ДЛМГ,staff_total,6.0,Володимир-Волинське ЛМГ
2000,Любешівське ДЛМГ,staff_total,8.0,Любешівське ЛМГ
2000,Ратнівське ДЛМГ,staff_total,5.0,Ратнівське ЛМГ
2000,Городоцький ДЛГ,staff_total,4.0,Городоцьке ЛГ
2000,К.-Каширський ДЛГ,staff_total,3.0,Камінь-Каширське ЛГ
2000,Ківерцівський ДЛГ,staff_total,,Ківерцівське ЛГ
2000,Ковельський ДЛГ,staff_total,1.0,Ковельське ЛГ
2000,Любомльський ДЛГ,staff_total,1.5,Любомльське ЛГ
2000,Маневицький ДЛГ,staff_total,4.0,Маневицьке ЛГ
2000,Цуманський ДЛГ,staff_total,8.0,Цуманське ЛГ
2000,Шацький ДЛГ,staff_total,3.0,Шацьке ЛГ
2000,В.-Волинська р/р УТМР,staff_total,3.0,Володимир-Волинська р/о УТМР
2000,Іваничівська р/р УТМР,staff_total,3.0,Іваничівська р/о УТМР
2000,К.-Каширська р/р УТМР,staff_total,4.0,Камінь-Каширська р/о УТМР
2000,Ківерцівська р/р УТМР,staff_total,4.0,Ківерцівська р/о УТМР
2000,Ковельська р/р УТМР,staff_total,7.0,Ковельська м/о УТМР
2000,Локачинська р/р УТМР,staff_total,2.0,Локачинська р/о УТМР
2000,Луцька р/р УТМР,staff_total,4.0,Луцька р/о УТМР
2000,Любешівська р/р УТМР,staff_total,1.0,Любешівська р/о УТМР
2000,Любомльська р/р УТМР,staff_total,5.0,Любомльська р/о УТМР
2000,Маневицька р/р УТМР,staff_total,2.0,Маневицька р/о УТМР
2000,Ратнівська р/р УТМР,staff_total,3.0,Ратнівська р/о УТМР
2000,Рожищенська р/р УТМР,staff_total,4.0,Рожищенська р/о УТМР
2000,Старовижівська р/р УТМР,staff_total,3.0,Старовижівська р/о УТМР
2000,Шацька р/р УТМР,staff_total,2.0,Шацька р/о УТМР
2000,Облрада УТМР,staff_total,12.0,Облрада УТМР
2000,"Турійське РТМР ""Тур""",staff_total,9.0,Турійське РТМР Тур
2000,"Ковельське СЛГП ""Тур""",staff_total,5.0,"Ковельське СЛАП ""Тур"""
2000,К.-Каширське СЛГП,staff_total,3.0,Камінь-Каширськагроліс
2000,"МП ""Агросервіс""",staff_total,3.0,МП Агросервіс
2000,"ТзОВ ""Вікінг""",staff_total,4.0,Вікінг
2000,Шацький ПНП,staff_total,5.0,Шацький НПП
2000,"ДМГ ""Борове""",staff_biologists,1.0,Борове ЛМГ
2000,"ДМГ ""Горохівське""",staff_biologists,1.0,Горохівське ЛМГ
2000,"ДМГ ""Старовижівське""",staff_biologists,1.0,Старовижівське ЛГ
2000,Звірівське ДЛМГ,staff_biologists,2.0,Звірівське ЛМГ
2000,В.-Волинське ДЛМГ,staff_biologists,1.0,Володимир-Волинське ЛМГ
2000,Любешівське ДЛМГ,staff_biologists,1.0,Любешівське ЛМГ
2000,Ратнівське ДЛМГ,staff_biologists,1.0,Ратнівське ЛМГ
2000,Городоцький ДЛГ,staff_biologists,1.0,Городоцьке ЛГ
2000,К.-Каширський ДЛГ,staff_biologists,1.0,Камінь-Каширське ЛГ
